  NTPC Limited ,NTPC
Hitachi Home ,Hitachi Home & Life Solutions
Hitech Investment casting ltd,Hi-Tech Investment Castings
HMSHost Services India Private Limited,HMSHost
Hofincons infotech industrial survice pvt.ltd,Hofincons Infotech & Industrial Services
"Hoganas india pvt ltd,Ahmednagar",Hoganas
Holostik India Ltd.,Holostik
Home credit  finance ,Home Credit
HOME CREDIT INDIA PRIVATE LTD.,Home Credit
Homecell teleservices ltd,Homecell Teleservices
HomeSafe,Home Safe India
HONDA,Honeywell
Honda car India Ltd,Honda
Horizon Infradesigns Pvt. Ltd.,Horizon
hotel barahi pokhara Nepal,Hotel Barahi
Hotel Dayal Paradise Lucknow,Dayal Paradise
Hotel Fidalgo Goa India,Hotel Fidalgo
Hotel sarnath motel & resort,Sarnath Motel And Resort
Housing.com,Housing
Howrah Mills Company Ltd,Howrah Mill
HPE (HP Globalsoft),HPE
hsb infotech pvt ltd ,HSB Infotech
HSBC Electronic Data Processing,HSBC
HSBC Software Development India Pvt.Ltd.,HSBC Software Development
HSIL LTD,HSIL
Huawei,Huawei Technologies
Huawei Telecommunication India Co,Huawei India
Huf India Pvt. Ltd. Pune,Huf India
Hundai automaotive pvt ltd chennai,Hyundai Motor
Hush India Pvt Ltd,Hush
Hyderabad Castings Limited,Hyderabad Castings
hyderabad sheraton hotel,Four Points By Sheraton
Hypercity Retail India ltd,HyperCITY
hyunda,Hyundai Motor
I-runway,iRunway
IBEX PRODUCTS pvt ltd.,Ibex Products
IBM,IBM Research IRL
IBM (GBS),IBM
IBM-GBS,IBM GBS
ICICI,ICICI Bank
ICICI Securities Ltd.,ICICI Securities
ICOMM TELE LIMITED,Icomm Tele
IDEA Cellular Limited,IDEA Cellular
Ideas ahead pvt Bangalore,Ideas Ahead AV Solutions
Ienergizer.inc,Energizer
IFB Agro Industries Ltd,IFB Industries
ILD Pvt ltd,International Land Developers
ILFS Education,IL&FS Education and Technology Services
Impec soft solutions Pvt.Ltd,Impecsoft Solutions
Inderprasth Gas Limited ,Indraprastha Gas
India Pistons limited,India Pistons
India shelter fiance corporation LTD,India Shelter Finance Corporation
India Tv Broadcast Center,India TV
India Yamaha Motors,Yamaha Motor
IndiaCan-Pearson India,IndiaCan
IndiaMART InterMesh Ltd.,indiamart intermesh
INDIAN INDUSTRIES,IOCL
Indiana Gratings Pvt Limited ,Indiana Gratings
Indico engineers service partner of whirlpool,Indico Engineers
INDIRA IVF HOSPITAL PVT.LTD,Indira IVF Hospital
inditex zara,Inditex
indo american hospital vaikom,Indo American Hospital
"INDO INTERNATIONAL FERTILIZER LTD, CUDDALORE",Indo International Fertilizers
Indo Nissin Foods Pvt Ltd,Nissin Foods (USA)
Indraprastha Medical Corporation Limited,Indraprastha Medical Corporation
Indus motors pvt ltd,Indus Motors
Indusind Bank Limited,IndusInd Bank
inel power system engineers pvt ltd,INEL POWER SYSTEM ENGINEERS
INFO EDGE PVT LTD (99ACRES.COM,99acres
"Infosys BPO LTD, Bangalore",Infosys
INFOTECH,Cyient
infoventures,InfoVentures Systems & Services
Infowave Knowledgeware Private Limited,InfoWave
infra engineers india,Infra Engineers
INFRES Methodex Limited,INFRES METHODEX LTD
Innova rubbers private limited,Innova Rubbers
Innovation RSPN India Inc,Innovation + RSPN India Inc
innovsource pvt ltd,innovosource
Insititude for machine tools and technology,Institute For Machine Tools Technology
Integrated enterprise  india ltd ,Integrated Enterprises
Intelligrape Software (a.k.a. TOTHENEW DIgital),Intelligrape Software
Intelnet,Intelenet Global Services
Interactive Finanacial ,Interactive Financial Services
Intercontinental Consultats & Technocrats Pvt Ltd,Intercontinental Consultants & Technocrats
INTERNATIONAL CENTER  FOR AUTOMATION TECHNOLOGY,International Center for Automotive Technology
iotaec,IOT Anwesha Engineering & Construction
IPsoft Global,IPSoft
iqor global services india pvt. ltd.,iQor Global Services
IRCON International ltd,Ircon International Limited
IRIS Business Services Ltd,IRIS Business Services
ISRO,ISRO
ITC (FMCG),ITC
ITC FOODS LTD,ITC Hotels
ITC Infotech India Limited,IC Infotech
ITI,ITI Data
itinfotechsolution,RIT Infotech solutions
ITS planners,ITS Planners and Engineers
IVRCL LIMITED.,IVRCL
Ixigo pvt lt,Ixigo.com
J.k laxmi cement.auth.dealer.namokar stone traders kota,JK Lakshmi Cement
Jabil Circuit pune,Jabil
Jabong.com,Jabong
Jagdish Precision Cast  Pvt. Ltd.,Jagdish Precision Cast
Jagtap Horticulture Pvt.Ltd.,Jagtap Nursery's Garden Centre
jai balajee agro products pvt.ltd,Jai Balaji Group
Jain Irrigation system ltd,Jain Irrigation Systems
Jaipur exhibition ,Jaipur Exhibition & Convention Center
Jalaram Projects Pvt. Ltd.,Jalaram Projects
Janalakshmi Financial Services Ltd.,Janalakshmi Financial Services
"jashanmal national company llc, dubai",Jashanmal National Company
Jasubhai Engineering pvt ltd-ABM division,Jasubhai
Jaya Hind Industries ltd pune,Jaya Hind Industries
Jaya Hind Sciaky Ltd,Jaya Hind Sciaky
JAYASWAL NECO INDUSTRIES LTD,Jayaswal Neco
JC Hometex,JC Evans Construction
"Jebas dental care, chennai",Jebas Dental Care
Jenomebiophar,Jenome Biophar
Jesus Redeems,Jesus Redeems Ministries
Jewel ace international,Jewels Ace International
Jewel engg.pvt.ltd,Jewel Engineering
Jindal Intellicom Ltd ,Jindal Intellicom
Jindal poly films Ltd,Jindal Poly Films
JINDAL STAINLESS LIMITED (JSL),Jindal Stainless
Jindal Steel and Power Ltd.,Jindal Steel and Power
Jindal Udyog Ltd.,Jindal Group
JK Agri Genetics Ltd,JK Agri Genetics
JKV MULTISTATE CREDIT COOPERATIVE SOCIETY LTD,JKV MULTISTATE CREDIT CO-OPERATIVE SOCIETY
"JMC PROJECTS (INDIA) LTD.,",JMC Projects
JOHN DEERE INDIA ,John Deere
Johnson ,Johnson & Johnson
JSW STEELS LTD.,JSW Steel
Just Dial,JustDial
just textile ltd,Just Textiles
Jyothy Laboratories Limited,Jyothy Laboratories
K.J.S. Cement Ltd. Maihar Satna M.P.,KJS Cement
K.P CONSULTANTS,KP Consultants
K3 pvt ltd,K3
Kailash Hospitals,Kailash Healthcare
kailash parbat hotel,Hotel Kailash Parbat (Lonavala)
Kajaria Ceramic Ltd,Kajaria Ceramics
Kalson Engineering Solution,Kalson Engineering Solutions
kam oasis beverages and food product pvt. ltd.,Kam Oasis Beverages & Food Products
"KAMACHI GROUP,Chennai",Kamachi
"Kamal Electronics, Luminous Service Centre",Kamal Electronics
kamla nissan motor pvt ltd,Nissan
Karvy Stock Broking LTD,Karvy Stock Broking
Kataline infraproduct private ltd,Kataline Infraproducts
KEC International Ltd,K.C.International
KEHIEN FIE PVT LTD,Keihin Fie
kelly steel eng.llc dubai,Kelly Steel Engineering LLC
"Kemppi Oy, India",Kemppi
keti sangam infrastructure ( I ) Ltd.,Keti Sangam Infrastructure
Kevin technologies private limited,Kevin Technologies
Keystone,Keystone Business Solutions
keystone systech pvt ltd,Keystone Systech
khadim india ltd.,Khadim
Khaitan chemicals and fertilizer ltd,Khaitan & Co
Khazana jewellery Pvt. Ltd,Khazana Jewellery
Khimji Ramdas LLC,Khimji Ramdas
Khivasara & Co ,Khivasara & Company
KIBULI MUSLIM HOSPITAL,Kibuli Hospital
KidZania Mumbai,KidZania
"KIMS AL SHIFA SUPER SPECIALITY HOSPITAL, PERINTHALMANNA, MALAPPURAM",KIMS Al-Shifa
king khalid military hospitral,Northern Area Armed Forces Hospital
KIRLOSKAR ELECTRIC COMPANY LTD.,Kirloskar Electric
Knowlarity Communications Pvt. Ltd,Knowlarity Communications
KONY LABS,Kony
Kotak Mahindra bank,Kotak Mahindra
Kotak Securities Ltd.,Kotak Securities
KPIT Cummins Infosystems,KPIT Technologies
KPMG Consulting,KPMG
Kpr agro chem ltd,KPR
krimmley construction company,Krimmley Contracting Company (KCC)
Krishna Institute of Engineering ,Krishna Institute of Engineering & Technology
KTMODY ,K T Mody & Co. Chartered Accountants
KUKJE PLANT KNPC KUWAIT,KUKJE Plant
Kunnel Engineers & contractors  (P)  Ltd Designation ,Kunnel Engineers & Contractors
Kurlon Limited,Kurlon
KVB,Karur Vysya Bank
L S Power Control Pvt.Ltd.,L S Power Control
LA SAGESSE ACADEMY,La Sagesse
Labort pharma,Laborate Pharmaceuticals
LABOURNET SERVICES INDIA PVT LTD,LabourNet
Lafarge India Ltd.,Lafarge
Lakhani,Lakhani & Co
Lal metals,Lal Metal Forge
Lamprell Energy Limited,Lamprell Energy
Land Transport Authority of Singapore,Lanxess
Lava international ltd,Lava International
Lava Mobiles,Lava
"LBE CONSULTING GROUP ,NEW DEHLI",LBE Consulting
lbjha and co.,L.B. Jha & Co
le meridian jaipur,Le Meridien
Leadpro consultancy private ltd,Leadpro Consultancy
leela group of hotels,THE LEELA PALACES HOTELS & RESORTS
let's padhai,LETs PADHAi
LEXI PVT. LTD.,Lexi Pens
LG customer information centre,LG Electronics
LGU Nagtipunan-Municipal Engineering Office,Municipal Engineering Office
LICHFL financial Services LTD,LIC Housing Finance
lifestyle international pvt ltd,lifestyle international pvt.ltd
Likhita infrastructure Pvt ltd,Likhitha infrastructure
Linde India Limited,The Linde Group
Lion Engineering Consultants Pvt. Ltd.,Lion Engineering Consultants
Lmrc ,Lucknow Metro Rail Corporation
LnT technology services,Larsen and Toubro Technology Services
Lok Sabha television,Lok Sabha
"Lootah Group of Companies, Ajman, Dubai.",Lootah Group
"Lorch Schweisstechnik GMBH, India",Lorch SchweiÃŸtechnik GmbH
lotus labs pvt ltd,Lotus Labs
LPL Project Logistics GmbH,LPL Projects & Logistics
Lucas Tvs,Lucas-TVS
Luftansa(Privatair),Lufthansa
Lumax industries ltd,Lumax Industries
Lupin ltd goa,Lupin
M/s SD BIO Standard Diagnostics Pvt Ltd.,SD Bio Standard Diagnostics
MADHUCON PROJECTS LIMITED,Madhucon Projects Ltd
"MADINA GROUP WLL, DOHA, QATAR (PRESENTLY CHANGING TO INTERSERVE ENGINEERING ",Madina Group
Maersk global,Maersk Group
Magma Fincorp Ltd,MAGMA Fincorp
Magneti Marelli India pvt. Ltd.,Magneti Marelli
Mahidra logistics,Mahindra
Mahindra ,Tech Mahindra
Mahindra Home Finance,Mahindra Finance
mahle filter system india ltd.,Mahle Filter Systems
maini scaffold fromworks and system pvt ltd,MAINI Formwork
malla reddy college for womens,MALLA REDDY ENGINEERING COLLEGE FOR WOMEN
Malwa Industries Limited,Malwa Industries
Manappuram Group Of Companies,Manappuram General Finance and Leasing
Manipal Technologies Ltd,Manipal Technologies
Manpower gurop service Pvt limited ,Manpower
MANUGRAPH INDIA LIMITED,Manugraph India
Manyvar,Manyavar
marcheretail.pvt.ltd,Marche Retail
Marico ltd,Marico Limited
MARINE ELECTRICALS (I) PVT.LTD.,Marine Electricals
marks ,Marks & Spencer
Marmum Dairy Farm,Marmum
Maruti clean coal and power ltd,Maruti Clean Coal Power
Maruti machines pvt ltd,Maruti Machines
"Maruti suzuki,Nissan",Maruti
Marvelprint Heat Transfers Pvt Ltd,Marvelprint Heat Transfers
Mastermind Classes,Mastermind Training & consultancy services
Max Hospital,Max Super Speciality Hospital
Max hyper market,Max Hypermarket
Max institute of health education and research,Max Institute of Health Education & Research
Max Life Insurance Company Limited,Max Life Insurance
Mayfair Hotels And Resorts,Mayfair Hotels & Resorts
Mazagon Dock Ltd. Mumbai,Mazagon Dock
MC NALLY BHARAT ENGG CO LTD,McNally Bharat Engineering
mccain food india pvt ltd,McCain Foods
McDonalds Corporation,McDonald's
mcm pvt ltd,MCM Telecom Equipment
MD Foods and Protiens,MD Foods and Proteins
MEC Concepts pvt ltd.,MEC
Meck pharmaceutical ,Meck Pharmaceuticals & Chemicals
Medgenome,Medgenome Labs
Medi Assist,Medi Assist India
mediaine,Medialine
medina palms watamu kenya,Medina Palms
Meghdoot Textiles Pvt Ltd,Meghdoot Textiles
mehala machines india ltd,Mehala Machines
MELTEK INFOSYSTEMS PVT LTD,Meltek Infosystems
"MERACUS PHARMACUETICAL , ADHUNIK GROUP",Meracus Pharmaceuticals
Mercedes Benz R & D,Mercedes Benz India
Mercer India Consulting Pvt Ltd,Mercer
Merck India Ltd & sovereign Pharma pvt ltd,Merck
MERCURIO PALLIA LOGISTIC PVT. LTD,Mercurio Pallia Logistics
Merino Limited,Merino
Merwans confectioners Pvt. Ltd.,Merwans Confectioners
Metafusion Pvt.Ltd.,Metafusion
methodex systems pvt ltd,Methodex
Metro Rail Projects,Malco [ Vedanta Group ]
metro wholesale,Metro
MEUSE KARA ,Meuse Kara & Sungrace Mafatlal
MG Tathya Solutions Pvt Ltd,MG Tathya Solutions
Micro Labs Ltd,Micro Labs
Microsoft IDC,Microsoft
Microtechnoid pvt ltd,Micro Technoid
MIDAS IT Co. Ltd,MIDAS IT
Migori County Government-Finance ,Migori County Government
"Mikuni India Pvt Ltd Neemrana, Rajasthan",Mikuni
Minchis juce factory,Juice factory
Minda Industries Limited,Minda Industries
Mindtree Limited,Mindtree
"ministry of education, maldives",Ministry Of Education
Misys Software Solutions,Misys
Mitsubishi,MITSUBISHI
Mitsui o.s.k Lines meritime India pvt.ltd,Mitsui O.S.K. Lines Maritime (India)
Mittal Brothers,Mittal & Associates
MlVTEC college bhilwara,Manikya Lal Verma Textile and Engineering College
Molecular Connections PVt Ltd,Molecular Connections
Monnet Group,monnet ispat & energy ltd
Monster.com,Monster Com India
Moolchand Medcity,Moolchand Healthcare
Morgan Stanley IT,Morgan Stanley
"Mosdorfer India Pvt, Ltd.",Mosdorfer
MOSH VARAYA INFRASTRUCTURE LTD.,Mosh Varaya Infrastructure
mother hi fi,JB Hi-Fi
MothersonSumi Infotech and Designs Limited,Motherson Sumi Systems
motif,Motif Wall Street 2
Motif Infotech,Motif India Infotech
Mphasis (An HP inaCompany),Mphasis
mps pvt ltd,MPS Group
MRF,MRF Tyres
Ms Batliboi ,Batliboi
MSN LIFE SCIENCES PRIVATE LIMITED,Msn Life Sciences
MSP metallics ltd,MSP Systems
Mu Sigma ,Mu Sigma
mukand engineers limited ,Mukand
Mungi Engineers Pvt. Ltd.,Mungi Group
municiple panchayat Kochas,Dept of Panchayat & Rural Development Govt of
Munjal Kiriu Industries (P) Ltd.,Munjal Kiriu Industries
muthoot Finance limited,Muthoot Group
Myntra.com,Myntra
N M Deodhar Consulting Engineers Pune,N M Deodhar Consulting Engineers
N.A.Global law School,NBA Group of Institutions
naba durga construction pvt.ltd.,Naba Durga Construction
Nadhi Technologies,Nadhi Information Technologies
Nagarjuna Construction (NCC),Nagarjuna Construction Company
Nagarjuna Fertilizer And Chemicals Ltd,Nagarjuna Fertilizers and Chemicals
Nagarro Software,Nagarro
Nalco Champion Daiichi Pvt Ltd,Nalco
Namaste India Food Pvt. Ltd.,Namaste India Foods
Narayana Educational Society,Narayana Educational Institutions
Narayana Hrudayalaya,Narayana Hrudayalaya Hospital
narayani emergecy hospital,Narayani Emergency Hospital
narula infra pvt. ltd,Narula Infrastructure
National Building Construction Corporation,NBCC
National Contruction Company,NCC
National Institute of Electronic and IT,National Institute of Electronics and Information Technology
National Institute of Electronics and Information Technology (NIELIT),NIELIT
Nava bharath fertilizers Limited ,Nava Bharath Fertilizers
NAVYUVA AUTOMOTIVES PVT.LTD,Navyuva Automotives
Nectar lifescinces ltd,Nectar
Neo crafts impexs,Neo Crafts Impex
NESTLE INDIA,Nestle
NetApp ,NetApp
Netempire tech solution ,Net Empire Tech Service
Netlux systems Pvt Ltd,Netlux Systems
Neuvera Wellness Ventures Pvt Ltd,Neuvera Wellness Ventures
Nifco,Nifco India
Nine A Business Connect Pvt. Ltd.,Nine A Business Connect
Nissin breake india pvt.ltd.,NISSIN BRAKES
Nityaa Technosys Labs,Nityaa Labs
nivea india pvt.ltd,Nivea
Nobel Hygiene Ltd ,Nobel Hygiene
Nokia project,Nokia
NOKIA SIEMENS NETWORKS,Nokia
Nomura Structured Finances,Nomura Structured Finance Services
north east shutltles pvt ltd,Northeast Shuttles
novacare drug specialities pvt ltd,Novacare Drug Specialities Pvt
Novartis Healthcare,Novartis India
NPCC ,NPCC Engineering
Nr switch and radio services,NR Switch N Radio Services
NS Matrix Services Pvt. Ltd,NS Matrix Services
NSH Corp adinin,NSH Corp
NTT Data Global Delivery Services Pvt Ltd,NTT DATA
Nucleus Software Exports Limited,Nucleus Software Exports
Nucon Switchgears Pvt Ltd,Nucon Industries
Nutek India limited,Nutek
NUTRI SYNAPZZ THERAPEUTIX PRIVATE LIMITED,Nutri Synapzz
Nuvo Logistics Private Limited,Nuvo Logistics
NYVELI LIGNITE CORPORATION,Neyveli Lignite Corporation
O.N.G.C,ONGC
OASIS,Oasis Infotech
Odd1 media Duration,ODD1
Offshore infrastructure pvt. Ltd,Offshore Infrastructures
Okaya Power Ltd,Okaya Power
om logistics ltd.,OM Logistics
OM Shailshuta Logistics Pvt Ltd,OM Shailshuta Logistics
Omaxe ltd,Omaxe
Omved life style Pvt Ltd,Omved Lifestyle
oppo camera phone,OPPO
Oracle Home Textile Ltd.,Oracle
Orane infosystems Pvt. Ltd.,Orane Infosystems
ORANGE CITY HOSPITAL & RESEARCH INSTITUTE NAGPUR,Orange City Hospital & Research Institute
orange sorting machines india private limited,Orange Sorting Machines
Orchid Pvt. Ltd,Orchid Solutions
"Orient Cement Limited Chittapur, Gulburga  Karnataka",Orient Cement
Orient Craft Ltd.,Orient Craft
Oromia Insurance Company,Oromia Insurance
ORRA,Orra Jewellery
OsI Technologies Pvt Ltd,OSI Technologies
Otis Elevator Company India Ltd,Otis Elevator
oxigen services india pvt.ltd,Oxigen
Oyster Box,Oyster Learning
P&G ,Procter & Gamble
P.G. Bhagwat Chartered Accountant,M/S P.G. BHAGWAT
pab engineering works pvt ltd,Pab Engineering Works
Pacific offshore nerul,Swire Pacific Offshore
"PANALFA AUTO ELEKTRIK LIMITED ,GURGAON",Panalfa Autoelektrik
Pantaloon retail India ltd,Pantaloon Retail
Paradeep Phosphates Limited,Paradeep Phosphates
PARK HYATT CHENNAI,Park Hyatt
Parle Agro pvt ltd,Parle Agro
Parle Biscuitspvt. ltd.,Parle Products
parul university,Parul Institute
PATANJALI AYURVED LIMITED,Patanjali Ayurved
Payoda Technologies,Payoda
"PDPL,INDORE",PDPL
Peerhunters,Peer Hunt Inc
peiner smag machinery india pvt ltd,PEINER SMAG Machinery
People Click Techno Solutions,People Click
People Strong,PeopleStrong
pepsico india holding pvt ltd,PepsiCo
Perennial technologies pvt.ltd,Perennial
PETRONET LNG LIMITED,Petronet LNG
Pfizer limited ,Pfizer
Phadnis Infrastructure ltd,phadnis infrastructure
Phi Robotics Research Private Limited,Phi Robotics
Philips india ltd,Philips
Phoenix Mills Limited,The Phoenix Mills
Phoenix Product,Phoenix
Pine Labs pvt ltd,Pine Labs
pink ladies gym ,Pink Fitness
Pioneer Property Management Ltd.,Pioneer Corporation
Pixel Conception Technologies Pvt Ltd.,Pixel Conception Technologies
Plaza group of company,Plaza Group
plustech,Plustech Systems & Solutions
PNB Housing Finance Ltd. ,PNB Housing Finance
Poddar Tyres Limited,Poddar Treads
Polaris Financial Technology,Polaris Consulting
policy x.com,PolicyX.com
Policybazaar.com,PolicyBazaar
POLY MEDICURE LTD.,Poly Medicure
Polyplastics india pvt.ltd.,Polyplastics
Power Spack Automotive   ltd,Spack Automotives
POWER WAVE TECHNOLOGIES,Powerwave Technologies
"PPG Asian paints, ",PPG Asian Paints
Practo Technologies Pvt Ltd,Practo
Prakash Industries Ltd.,Prakash Industries
Pratham Industrial Solution,Pratham Embedded Solutions
Precision Auto wares p ltd,Precision Autoware
Prem Fabricators.,Prem Fabricators
Prestige Group Of Industries,Prestige Group
Price Waterhouse Coopers (PWC),PWC
Pricol limited,Pricol
pride hotel bangalore,Pride Hotel
Pritam International Pvt limited,Pritam International
